Order ID,Order Date,Year,Month,Day,Customer Name,Region,City,Category,Sub-Category,Product Name,Quantity,Unit  Price,Total Sales,Profit %,Profit Amount,Payment Mode
10147,01-01-2024,2024,1,1,Nayantara Kalita,West,Ahmedabad,Electronics,Smartwatch,Smartwatch Eum,3,9607,28821,15%,4323.15,Net Banking
10941,01-01-2024,2024,1,1,Indranil Char,South,Coimbatore,Sports,Cricket Bat,Cricket Bat Distinctio,5,9648,48240,20%,9648,Net Banking
11271,01-01-2024,2024,1,1,Jayant Dugar,North,Lucknow,Furniture,Table,Table Laudantium,8,7213,36065,20%,7213,Debit Card
11299,01-01-2024,2024,1,1,Ela Wadhwa,South,Thiruvananthapuram,Books,Comics,Comics Nostrum,2,9773,19546,10%,1954.6,Net Banking
12716,01-01-2024,2024,1,1,Sana Trivedi,North,Delhi,Toys,Action Figure,Action Figure Libero,5,8800,44000,20%,8800,Debit Card
12960,01-01-2024,2024,1,1,Ivana Sagar,West,Ahmedabad,Toys,Board Game,Board Game Eos,5,8741,43705,20%,8741,Net Banking
13222,01-01-2024,2024,1,1,Kashvi Sekhon,East,Bhubaneswar,Groceries,Spices,Spices Eos,3,9632,28896,15%,4334.4,COD
10946,02-01-2024,2024,1,2,Ranbir Cheema,South,Bangalore,Groceries,Sugar,Sugar Quasi,3,6543,19629,10%,1962.9,Net Banking
11341,02-01-2024,2024,1,2,Arhaan Bhatnagar,West,Ahmedabad,Beauty,Shampoo,Shampoo Vero,3,9748,29244,15%,4386.6,Net Banking
11417,02-01-2024,2024,1,2,Jivika Dua,West,Pune,Beauty,Foundation,Foundation Quisquam,4,9726,38904,20%,7780.8,COD
11489,02-01-2024,2024,1,2,Zeeshan Dubey,South,Bangalore,Toys,Board Game,Board Game Officiis,3,7066,21198,15%,3179.7,Net Banking
12994,02-01-2024,2024,1,2,Vedika Ramachandran,South,Chennai,Electronics,Mobile,Mobile Laboriosam,1,8004,8004,5%,400.2,Debit Card
